pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
7,477,5,ศรีนครินทร์,อ่างทอง,5,ศาลาเอนกประสงค์บ้านปากแพรก,347
7,478,6,ศรีนครินทร์,อ่างทอง,6,ศาลาประจ าหมู่บ้านบ้านเกาะเหรียง,272
7,479,7,ศรีนครินทร์,อ่างทอง,7,ศาลาเอนกประสงค์บ้านต้นตอ,389
7,480,8,ศรีนครินทร์,อ่างทอง,8,ศาลาอเนกประสงค์บ้านเกาะขัน,279
7,481,1,ศรีนครินทร์,บ้านนา(เทศบาล),1,ศาลาอเนกประสงค์  ร.ร.บ้านนาวง,837
7,482,2,ศรีนครินทร์,บ้านนา(เทศบาล),2,ศาลาประจ าหมู่บ้านบ้านล าใน,215
7,483,3,ศรีนครินทร์,บ้านนา(เทศบาล),3,ศาลาการเปรียญวัดบ้านนา,652
7,484,4,ศรีนครินทร์,บ้านนา(เทศบาล),4,ศูนย์ส่งเสริมสุขภาพราษฎร,497
7,485,5,ศรีนครินทร์,บ้านนา(เทศบาล),5,ศาลาประจ าหมู่บ้านบ้านต้นไทร,389
7,486,6,ศรีนครินทร์,บ้านนา(เทศบาล),6,ศาลาอเนกประสงค์บ้านตีนนา,534
7,487,7,ศรีนครินทร์,บ้านนา(เทศบาล),7,ศาลาอเนกประสงค์บ้านหนองเหรียง,492
7,488,8,ศรีนครินทร์,บ้านนา(เทศบาล),8,ศาลาประจ าหมู่บ้านบ้านคอกเสือ,723
7,489,9,ศรีนครินทร์,บ้านนา(เทศบาล),9,ศาลาประจ าหมู่บ้านบ้านวงศ์,407
7,490,10,ศรีนครินทร์,บ้านนา(เทศบาล),10,ศาลาอเนกประสงค์บ้านป่าสน,424
7,491,11,ศรีนครินทร์,บ้านนา(เทศบาล),11,ศาลาประจ าหมู่บ้านบ้านน ้าใต้บ่อ,519
7,492,12,ศรีนครินทร์,บ้านนา(เทศบาล),12,ที่ท าการกลุ่มสตรีบ้านล าในใต้,454
7,493,1,ศรีนครินทร์,ชุมพล(เทศบาล),1,ศาลาประจ าหมู่บ้านบ้านชุมพล,732
